longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-117.94,34.15,33,859,144.0,421,138,4.4821,INLAND,228582.01
-121.3,38.13,26,2256,360.0,937,372,5.0528,INLAND,155192.0
-118.36,34.06,39,2810,670.0,1109,624,3.25,<1H OCEAN,357085.08
-118.23,34.14,33,2865,864.0,2061,790,2.6268,<1H OCEAN,192424.0
-119.72,34.43,27,984,299.0,777,313,2.5694,<1H OCEAN,262910.0
-121.76,36.75,21,1141,257.0,671,195,3.8424,<1H OCEAN,233122.01
-117.09,32.74,23,3130,779.0,2472,744,2.32,NEAR OCEAN,118956.0
-118.19,34.04,39,1074,323.0,1613,308,2.3015,<1H OCEAN,144599.0
-118.36,33.89,34,760,174.0,723,198,5.3169,<1H OCEAN,283943.0
-118.09,33.96,20,1911,472.0,1407,465,2.7647,<1H OCEAN,167901.0
-119.9,37.49,13,2230,443.0,920,361,3.0,INLAND,112385.0
-117.49,33.64,3,8874,1302.0,3191,1027,6.8588,<1H OCEAN,303023.02
-121.36,38.01,16,926,230.0,451,198,4.0221,INLAND,141449.0
-117.35,34.16,36,1717,348.0,1054,279,2.4444,INLAND,88872.0
-118.35,33.8,19,6224,1105.0,3152,1076,5.9541,<1H OCEAN,322142.01
-117.2,32.84,34,3353,544.0,1583,571,4.55,NEAR OCEAN,217837.01
-118.46,34.32,10,5777,1112.0,2917,1056,4.1514,<1H OCEAN,216870.0
-121.6,37.13,14,9483,1361.0,4108,1281,7.5,<1H OCEAN,367435.04
-118.35,33.98,33,1884,477.0,1518,449,3.1194,<1H OCEAN,214965.0
-121.72,38.0,7,7957,1314.0,4460,1293,4.9618,INLAND,164977.0
-117.99,33.73,24,2104,421.0,1181,414,3.8365,<1H OCEAN,203117.0
-121.85,37.33,16,2987,874.0,4241,841,2.8024,<1H OCEAN,174682.0
-117.93,33.62,33,1890,416.0,859,329,4.5658,<1H OCEAN,419403.56
-120.02,36.8,25,1270,255.0,1050,245,2.1618,INLAND,67784.0
-122.38,37.58,52,1704,226.0,671,243,8.4704,NEAR OCEAN,489595.87
-117.84,33.74,22,6072,1802.0,4715,1666,3.1353,<1H OCEAN,171490.0
-117.98,33.77,7,2252,570.0,1576,550,3.6333,<1H OCEAN,162594.0
-122.59,37.97,46,4036,856.0,1872,833,4.5625,NEAR OCEAN,328862.02
-119.35,35.59,14,2719,502.0,1497,457,3.176,INLAND,83054.0
-121.24,39.22,14,983,163.0,399,161,2.2917,INLAND,118875.0
-117.96,34.08,28,2831,552.0,2330,557,3.9741,<1H OCEAN,188065.0
-117.7,33.64,15,5743,773.0,2380,773,8.1926,<1H OCEAN,371294.01
-117.65,34.04,28,2360,607.0,2623,592,2.5048,INLAND,118784.0
-121.9,38.02,5,1560,369.0,1037,372,3.6154,INLAND,146273.0
-118.07,33.99,41,1204,252.0,1002,248,3.0577,<1H OCEAN,162070.0
-118.28,33.99,49,2174,481.0,1861,484,1.7159,<1H OCEAN,102036.0
-117.89,33.83,35,2984,446.0,1435,455,5.6276,<1H OCEAN,250629.0
-119.35,36.42,18,1115,193.0,1742,176,2.7969,INLAND,67556.0
-122.3,37.55,35,3675,735.0,1930,715,3.9833,NEAR OCEAN,311902.02
-118.16,34.7,33,2918,494.0,1365,478,4.8787,INLAND,197433.0
-122.48,38.48,29,2278,397.0,765,322,4.6379,INLAND,287054.0
-119.73,36.52,20,1741,331.0,1466,289,2.5921,INLAND,68692.0
-122.25,37.53,16,4428,664.0,1677,623,7.6864,NEAR BAY,414151.11
-118.37,34.07,52,1084,247.0,468,255,3.4286,<1H OCEAN,404879.05
-118.04,33.85,24,2233,347.0,1162,355,5.6094,<1H OCEAN,263809.0
-116.95,32.74,7,2722,578.0,1429,574,3.9583,<1H OCEAN,162603.0
-122.58,38.1,22,11872,2300.0,5600,2200,4.6463,NEAR BAY,250252.01
-118.47,34.04,21,5041,1491.0,2719,1420,3.5335,<1H OCEAN,376941.22
-118.25,33.92,44,1137,235.0,747,225,2.0,<1H OCEAN,95335.0
-117.29,34.14,52,1683,266.0,646,256,4.0481,INLAND,132821.0
-119.49,37.1,24,2532,555.0,1564,507,2.3359,INLAND,93337.0
-122.7,38.45,26,2011,557.0,855,530,1.125,<1H OCEAN,169594.01
-121.9,37.44,12,4228,734.0,2594,732,6.6086,<1H OCEAN,314649.05
-117.27,34.24,34,3687,756.0,941,367,2.875,INLAND,101476.0
-121.27,38.12,44,2356,482.0,1043,443,2.4949,INLAND,92481.0
-119.72,34.42,31,1524,383.0,1257,398,2.6019,NEAR OCEAN,236803.0
-119.54,36.51,36,49,7.0,28,2,4.625,INLAND,151331.0
-118.41,33.97,44,2298,388.0,849,360,5.5941,<1H OCEAN,396335.22
-120.85,37.51,15,1131,285.0,728,281,1.5531,INLAND,103503.0
-122.42,37.75,52,1207,302.0,1008,269,3.3816,NEAR BAY,266998.0
-118.28,33.98,47,865,193.0,782,217,2.2411,<1H OCEAN,119023.0
-118.27,33.82,39,1357,249.0,763,229,4.25,<1H OCEAN,189741.0
-117.01,32.73,22,2526,530.0,1556,529,2.8646,NEAR OCEAN,135290.0
-122.25,37.8,52,2087,510.0,1197,488,3.0149,NEAR BAY,225922.0
-118.44,33.88,35,2020,451.0,724,399,6.6494,NEAR OCEAN,471200.47
-118.35,33.85,35,1248,206.0,551,185,5.6426,<1H OCEAN,310595.0
-122.35,37.96,35,1326,346.0,1023,295,2.0724,NEAR BAY,104979.0
-118.43,34.16,41,2050,478.0,850,490,3.4208,<1H OCEAN,320647.01
-118.3,33.93,29,2228,396.0,1140,352,3.7969,<1H OCEAN,169166.0
-121.28,38.53,18,224,38.0,95,41,3.1042,INLAND,129038.0
-117.27,33.0,36,2426,454.0,1085,420,5.1523,NEAR OCEAN,326587.17
-122.41,37.63,35,865,226.0,602,217,3.0,NEAR OCEAN,256772.01
-117.18,32.76,8,3694,997.0,1297,807,3.6492,NEAR OCEAN,230334.0
-118.45,33.99,45,1132,269.0,654,264,4.5673,<1H OCEAN,342460.01
-117.07,32.8,36,2028,349.0,820,352,3.9828,<1H OCEAN,165217.0
-121.34,38.59,22,3273,480.0,1151,463,8.05,INLAND,338290.02
-118.64,34.22,16,4312,574.0,1902,574,8.4438,<1H OCEAN,413985.09
-117.94,33.88,46,1747,312.0,770,296,5.4217,<1H OCEAN,272477.05
-121.98,37.27,25,3075,564.0,1633,543,5.2528,<1H OCEAN,283702.0
-117.02,32.73,22,5201,865.0,3280,817,4.7952,NEAR OCEAN,171955.0
-118.09,34.15,45,1345,356.0,749,327,2.8007,INLAND,215799.0
-122.52,37.89,17,4363,1041.0,1640,989,3.9531,NEAR BAY,349053.04
-117.24,34.14,6,2383,606.0,1301,488,3.016,INLAND,115471.0
-118.58,34.21,27,2209,353.0,1034,344,4.7125,<1H OCEAN,229136.0
-118.02,33.92,34,2169,418.0,1169,406,3.2222,<1H OCEAN,181971.0
-117.82,33.82,22,3173,372.0,1181,355,8.3637,<1H OCEAN,370515.01
-117.87,33.84,23,1678,369.0,912,347,4.5,<1H OCEAN,210646.0
-122.45,38.01,36,4501,832.0,2196,800,4.3182,NEAR BAY,304945.03
-117.69,36.13,25,1709,439.0,632,292,1.7868,INLAND,77309.98
-118.18,34.03,26,859,255.0,835,232,1.1929,<1H OCEAN,155089.0
-122.44,37.78,37,1235,314.0,481,297,3.6875,NEAR BAY,378422.04
-117.99,34.08,35,1032,207.0,954,191,2.8906,INLAND,154705.0
-119.63,34.4,29,3865,814.0,1266,613,6.0069,<1H OCEAN,390860.23
-122.62,38.24,33,1369,280.0,758,246,4.0341,<1H OCEAN,204745.0
-122.33,38.29,14,3541,499.0,1577,459,5.3351,NEAR BAY,213467.0
-119.82,36.79,35,1474,291.0,709,294,2.6522,INLAND,75282.0
-118.61,34.21,41,1058,228.0,778,245,3.3534,<1H OCEAN,195268.01
-122.53,37.87,20,1814,282.0,658,253,7.9977,NEAR BAY,403273.04
-118.26,33.91,39,967,256.0,903,256,1.9038,<1H OCEAN,98518.0
-121.92,37.28,27,3028,486.0,1284,498,4.5833,<1H OCEAN,285249.0
-120.46,37.29,30,2972,635.0,1940,590,2.3594,INLAND,85079.0
-121.97,36.97,24,3665,870.0,1954,833,2.8036,NEAR OCEAN,233750.0
-117.16,32.73,52,1863,559.0,906,493,1.9203,NEAR OCEAN,167596.0
-118.19,33.78,24,225,72.0,439,71,2.8533,NEAR OCEAN,215948.03
-117.11,32.69,39,395,159.0,620,162,2.725,NEAR OCEAN,110882.0
-117.88,33.82,17,2247,705.0,1382,618,3.8631,<1H OCEAN,176636.0
-122.48,37.69,43,2661,455.0,1384,456,4.2421,NEAR OCEAN,246729.0
-118.15,34.17,36,930,280.0,1024,300,1.0846,<1H OCEAN,183116.04
-117.7,33.6,16,2092,489.0,877,392,3.0461,<1H OCEAN,149718.01
-116.22,33.73,38,1695,352.0,1279,305,2.1217,INLAND,69755.0
-119.07,35.34,16,4201,786.0,1667,724,4.8839,INLAND,144698.0
-120.71,37.38,14,1979,432.0,1756,382,2.6923,INLAND,92518.0
-121.36,37.99,8,1801,380.0,684,350,4.2589,INLAND,165598.0
-117.3,33.23,13,3619,791.0,1759,806,2.765,<1H OCEAN,138679.0
-118.15,33.94,37,1594,321.0,1003,323,3.3289,<1H OCEAN,209052.0
-118.11,34.15,40,1950,509.0,1038,438,2.6172,<1H OCEAN,188120.0
-117.1,32.74,30,1772,500.0,1389,447,2.3641,NEAR OCEAN,115089.0
-122.67,38.33,4,8072,1606.0,4323,1475,3.9518,<1H OCEAN,196140.0
-118.14,34.06,37,1339,258.0,706,238,4.7569,<1H OCEAN,223757.0
-118.27,34.0,43,1638,434.0,1213,390,1.3403,<1H OCEAN,109375.0
-118.31,33.67,42,1297,246.0,611,242,5.3074,NEAR OCEAN,366934.19
-122.23,40.57,18,1633,243.0,750,252,5.1585,INLAND,192531.0
-117.04,32.58,14,2355,406.0,1883,401,5.0311,NEAR OCEAN,160453.0
-118.51,34.0,52,1241,502.0,679,459,2.3098,<1H OCEAN,369671.17
-118.09,33.74,44,1671,390.0,871,367,4.6369,NEAR OCEAN,396736.15
-118.93,36.19,30,2685,546.0,951,523,2.6184,INLAND,78304.0
-117.22,32.75,26,696,185.0,384,184,2.6121,NEAR OCEAN,222180.04
-122.04,37.62,35,1032,173.0,453,176,6.396,NEAR BAY,356981.03
-117.22,34.07,8,3065,692.0,1440,666,3.2368,INLAND,115841.0
-117.13,34.24,17,2828,506.0,673,274,5.2563,INLAND,155130.0
-117.13,32.7,48,786,230.0,917,231,1.875,NEAR OCEAN,91726.0
-122.44,37.77,52,3475,807.0,1518,777,3.6186,NEAR BAY,463168.57
-118.24,33.96,34,1724,432.0,1876,416,2.1078,<1H OCEAN,106087.0
-119.08,35.32,8,11609,2141.0,5696,2100,5.0012,INLAND,148612.0
-119.29,34.28,38,2387,748.0,1537,741,2.3147,NEAR OCEAN,207330.0
-118.26,34.01,47,1269,323.0,1628,325,1.5089,<1H OCEAN,110753.0
-122.14,37.44,52,3117,468.0,1114,421,6.6756,NEAR BAY,483524.77
-117.13,32.58,27,2511,615.0,1427,576,3.1645,NEAR OCEAN,152772.0
-119.67,36.33,19,1241,244.0,850,237,2.9375,INLAND,71755.0
-122.43,37.81,39,3275,837.0,1137,725,3.7679,NEAR BAY,430104.53
-121.39,38.63,30,2930,739.0,1661,668,2.7813,INLAND,118961.0
-118.36,33.86,37,1768,314.0,802,290,5.0784,<1H OCEAN,324224.04
-118.33,33.92,23,969,288.0,670,251,3.267,<1H OCEAN,185508.0
-118.79,34.14,7,3003,504.0,1143,466,5.8548,NEAR OCEAN,384478.11
-117.82,34.13,27,3770,573.0,1606,562,6.1321,INLAND,250827.02
-114.57,33.57,20,1454,326.0,624,262,1.925,INLAND,56824.0
-118.08,34.13,46,1238,147.0,377,145,8.4546,INLAND,456058.51
-117.72,34.1,32,3241,895.0,1592,810,2.4952,INLAND,138902.0
-118.25,33.91,36,1950,365.0,1125,374,3.1111,<1H OCEAN,127823.0
-121.71,38.56,20,8627,1516.0,4071,1466,4.2198,INLAND,200332.0
-122.02,38.02,44,1465,247.0,817,237,4.8693,NEAR BAY,198447.0
-122.08,37.39,4,2292,,1050,584,4.8036,NEAR BAY,293776.06
-117.16,32.74,27,2335,604.0,982,590,3.1921,NEAR OCEAN,237610.04
-118.37,34.24,40,1283,246.0,594,236,4.1121,<1H OCEAN,212433.01
-118.31,34.0,47,1551,362.0,1329,322,1.9792,<1H OCEAN,114251.0
-120.48,37.29,17,2266,693.0,3200,664,1.5635,INLAND,75952.0
-122.54,37.99,32,2236,348.0,818,330,7.3521,NEAR BAY,415320.34
-117.11,32.79,16,2574,771.0,1129,721,3.3849,NEAR OCEAN,126163.0
-118.34,34.04,35,2345,607.0,2042,565,2.5955,<1H OCEAN,187925.0
-120.44,34.93,15,868,244.0,1133,253,2.0995,<1H OCEAN,123289.0
-118.54,34.23,29,1753,342.0,1318,333,4.125,<1H OCEAN,190816.0
-117.05,32.76,37,4879,906.0,2076,871,3.6625,NEAR OCEAN,162544.0
-122.04,36.97,30,2695,424.0,1098,420,5.3972,NEAR OCEAN,358794.03
-122.53,38.01,27,3121,531.0,1318,489,5.4781,NEAR BAY,298257.0
-118.39,34.16,20,4084,1062.0,1637,987,3.2388,<1H OCEAN,317249.03
-118.2,34.12,52,1580,426.0,1462,406,3.3326,<1H OCEAN,174532.0
-122.43,37.64,42,4091,757.0,1861,771,4.207,NEAR OCEAN,299776.0
-116.88,34.08,52,3419,777.0,710,265,3.9028,INLAND,124400.0
-122.09,37.41,8,1480,414.0,856,445,2.8203,NEAR BAY,212004.01
-121.9,37.3,39,3627,666.0,1531,635,4.537,<1H OCEAN,268667.0
-122.78,38.44,14,4143,656.0,1569,629,3.9766,<1H OCEAN,204440.0
-122.31,38.34,19,4187,684.0,1827,605,4.5293,NEAR BAY,201275.0
-117.74,34.02,33,2318,464.0,1904,451,3.7454,INLAND,136536.0
-122.01,37.93,25,2652,335.0,1062,334,7.5898,NEAR BAY,372449.09
-118.85,34.21,29,2195,414.0,1360,401,3.4773,<1H OCEAN,209756.0
-122.37,38.33,29,1868,291.0,764,284,4.825,NEAR BAY,211998.0
-118.11,34.07,19,3215,907.0,3072,870,2.3393,<1H OCEAN,185499.0
-121.28,38.7,15,5828,1051.0,2868,1037,3.7813,INLAND,151353.0
-118.1,34.08,37,2894,659.0,1977,636,2.543,<1H OCEAN,191491.0
-120.07,36.96,32,1268,283.0,549,273,1.4511,INLAND,63716.99
-118.37,33.95,32,1067,286.0,1053,277,2.8438,<1H OCEAN,193300.01
-122.42,37.8,52,3823,1040.0,1830,977,4.2458,NEAR BAY,484027.83
-118.7,34.3,23,2831,406.0,1284,393,6.1383,<1H OCEAN,277570.0
-117.12,32.57,35,1450,256.0,930,286,2.6715,NEAR OCEAN,138958.0
-122.42,37.8,52,3067,870.0,2122,850,2.5603,NEAR BAY,255850.02
-119.25,35.78,27,1513,342.0,1346,323,2.7411,INLAND,81742.0
-122.66,39.02,16,3715,810.0,943,510,1.7446,INLAND,95129.0
-118.45,33.99,52,1010,244.0,573,242,4.1861,<1H OCEAN,338495.03
-117.61,34.08,12,4427,,2400,843,4.7147,INLAND,157691.0
-117.96,33.93,15,2014,419.0,839,390,4.7446,<1H OCEAN,210824.0
-115.73,32.8,44,472,81.0,206,57,2.2083,INLAND,75848.0
-118.12,34.1,34,2918,555.0,1435,568,4.2344,<1H OCEAN,274923.03
-117.96,33.65,18,3603,879.0,1549,756,4.0229,<1H OCEAN,227539.0
-118.57,34.2,33,1759,311.0,943,315,5.223,<1H OCEAN,240243.0
-119.02,35.41,41,2221,516.0,1106,473,1.97,INLAND,70730.0
-119.06,35.33,14,5264,1064.0,3278,1049,3.8117,INLAND,94330.0
-122.44,37.77,52,3505,745.0,1374,714,4.3667,NEAR BAY,469136.69
-117.15,32.91,14,1259,238.0,889,247,4.9464,<1H OCEAN,189948.03
-118.44,34.29,30,1632,401.0,1357,401,3.1588,<1H OCEAN,166918.0
-119.8,36.02,20,156,39.0,171,37,3.05,INLAND,92835.0
-119.77,36.78,36,3616,779.0,1994,786,2.5434,INLAND,73913.0
-118.28,33.97,38,1819,497.0,2110,499,1.6027,<1H OCEAN,98579.0
-118.4,34.05,26,4473,923.0,1518,805,5.0762,<1H OCEAN,450279.51
-122.07,37.57,8,8647,1407.0,5019,1379,6.5615,NEAR BAY,355294.17
-121.56,39.08,26,1377,289.0,761,267,1.4934,INLAND,62379.0
-121.98,37.54,17,5133,1375.0,3386,1339,3.1326,<1H OCEAN,209373.0
-122.29,38.3,52,144,54.0,89,48,1.0096,NEAR BAY,188880.0
-118.15,33.9,20,2850,737.0,1855,662,2.809,<1H OCEAN,175015.0
-122.04,37.34,28,3081,460.0,1260,461,7.5372,<1H OCEAN,428193.25
-118.49,34.27,34,4877,815.0,2521,781,5.5714,<1H OCEAN,256687.0
-117.12,32.74,46,1898,441.0,978,439,3.2708,NEAR OCEAN,161441.0
-118.95,35.38,35,2220,388.0,906,373,3.5938,INLAND,88116.0
-122.08,37.4,23,806,158.0,373,156,5.9291,NEAR BAY,331536.06
-118.26,33.88,40,519,102.0,330,95,3.0972,<1H OCEAN,134448.0
-119.76,36.79,32,2463,468.0,1261,486,3.3281,INLAND,88393.0
-118.25,33.98,39,1553,461.0,2271,437,1.7378,<1H OCEAN,101530.0
-118.98,35.38,24,1807,465.0,1460,410,1.4786,INLAND,50545.0
-118.92,35.13,29,1297,262.0,909,253,1.9236,INLAND,54879.0
-118.21,33.8,44,1387,280.0,984,302,4.25,NEAR OCEAN,184512.0
-118.27,34.15,7,2837,776.0,2287,736,3.008,<1H OCEAN,218806.0
-119.96,35.99,25,1047,270.0,1505,286,2.0976,INLAND,54199.0
-118.0,34.15,48,3436,673.0,1540,648,4.275,INLAND,259172.0
-122.46,37.71,45,1799,394.0,1436,389,3.65,NEAR OCEAN,234796.0
-121.32,38.67,31,2532,479.0,1396,467,4.0417,INLAND,121701.0
-118.07,33.96,30,928,230.0,913,214,2.6991,<1H OCEAN,162888.0
-117.0,32.77,35,2114,317.0,881,320,5.5,<1H OCEAN,206306.0
-121.99,37.54,18,3584,715.0,1673,661,3.9444,<1H OCEAN,236417.0
-121.19,38.04,35,703,117.0,290,107,3.225,INLAND,151517.0
-118.56,34.21,13,8327,1849.0,4126,1773,3.7313,<1H OCEAN,233521.0
-116.92,32.82,16,2784,468.0,1458,465,4.0048,<1H OCEAN,166501.0
-122.2,37.78,50,1867,403.0,1128,378,2.5401,NEAR BAY,126569.0
-122.41,37.71,28,5015,1240.0,3900,1029,1.2269,NEAR BAY,221982.05
-122.07,37.64,22,5861,1516.0,5436,1463,2.5158,NEAR BAY,188321.0
-118.23,33.95,37,2667,671.0,2865,683,0.6831,<1H OCEAN,123975.02
-118.01,33.76,35,2072,349.0,1249,317,3.9855,<1H OCEAN,202561.0
-118.37,33.99,36,3228,543.0,1305,520,5.1695,<1H OCEAN,325845.04
-118.27,33.95,34,1261,315.0,1027,303,2.2946,<1H OCEAN,100919.0
-121.33,38.65,24,3533,741.0,1496,723,2.8106,INLAND,133666.0
-122.18,37.76,52,754,175.0,447,165,3.9063,NEAR BAY,155183.0
-121.97,37.28,27,2427,403.0,1301,438,5.0385,<1H OCEAN,288100.0
-117.5,34.0,15,1929,317.0,1237,316,4.4063,INLAND,137002.0
-124.1,40.9,18,4032,798.0,1948,775,2.7321,NEAR OCEAN,95529.0
-116.43,33.81,8,6710,1343.0,2069,781,3.5223,INLAND,165167.06
-120.76,38.47,17,1521,309.0,607,240,3.5,INLAND,148236.0
-118.41,34.17,35,2027,428.0,879,402,4.692,<1H OCEAN,306662.0
-122.83,38.4,37,2217,451.0,1019,428,3.1217,<1H OCEAN,179392.0
-118.46,34.4,12,25957,4798.0,10475,4490,4.542,<1H OCEAN,210137.0
-122.19,37.71,36,361,69.0,158,58,5.5461,NEAR BAY,304737.03
-119.91,37.23,17,2171,389.0,1042,375,3.625,INLAND,114909.0
-121.92,37.3,36,2088,358.0,772,347,4.2762,<1H OCEAN,286785.0
-117.26,32.95,22,5484,1227.0,1947,1012,4.4375,NEAR OCEAN,312313.02
-119.01,35.37,33,821,181.0,579,172,1.2469,INLAND,59883.99
-117.67,33.49,15,2782,579.0,983,525,2.1935,<1H OCEAN,207063.21
-117.81,35.65,19,1124,290.0,598,261,1.8984,INLAND,69468.95
-118.42,33.98,3,475,155.0,236,153,3.6667,<1H OCEAN,309097.09
-122.4,37.76,52,1495,311.0,506,275,4.4375,NEAR BAY,290996.01
-119.84,36.81,18,2789,378.0,937,364,7.7062,INLAND,237750.0
-121.43,37.75,42,1207,278.0,699,279,3.3611,INLAND,125922.0
-118.22,34.09,36,1427,415.0,1835,410,2.48,<1H OCEAN,153676.0
-117.04,32.55,15,2206,648.0,2511,648,1.6348,NEAR OCEAN,122609.0
-117.14,33.15,16,1129,198.0,758,178,5.0346,<1H OCEAN,183738.0
-117.94,34.04,36,1431,354.0,1367,334,3.5592,<1H OCEAN,161249.0
-117.93,34.57,5,5613,1060.0,3569,999,3.1946,INLAND,130156.0
-118.37,34.16,25,2450,618.0,1054,578,3.6375,<1H OCEAN,291003.01
-117.1,34.21,22,4397,931.0,1145,445,4.5268,INLAND,133243.0
-122.42,40.44,16,994,,495,181,2.1875,INLAND,85371.0
-121.47,38.54,47,2085,464.0,1346,402,1.2679,INLAND,76397.0
-118.14,34.08,30,1433,397.0,1110,346,2.3464,<1H OCEAN,194186.0
-118.39,34.23,18,3405,831.0,3001,795,3.0083,<1H OCEAN,188090.0
-121.41,38.69,28,1601,308.0,848,305,3.6429,INLAND,104739.0
-123.8,39.44,33,2024,459.0,1019,422,1.9208,<1H OCEAN,99823.0
-117.71,33.54,7,4907,577.0,1883,556,10.4415,<1H OCEAN,462577.54
-121.5,38.56,46,2646,645.0,1684,616,1.128,INLAND,86490.0
-117.24,32.75,36,2831,669.0,1279,660,2.9896,NEAR OCEAN,255901.01
-118.26,33.82,28,5091,1074.0,4753,1033,3.6477,<1H OCEAN,195312.0
-117.95,33.71,16,6058,1715.0,3285,1495,3.4133,<1H OCEAN,185693.0
-117.24,32.75,41,1989,514.0,1015,489,2.79,NEAR OCEAN,255414.0
-121.35,38.04,12,6217,1019.0,3771,961,3.7206,INLAND,138692.0
-117.57,33.88,39,679,164.0,769,179,2.3036,INLAND,122004.0
-117.24,32.94,12,2165,437.0,792,386,5.2648,NEAR OCEAN,266672.05
-121.63,39.12,34,1991,348.0,804,344,3.4492,INLAND,112322.0
-117.9,33.8,27,2176,442.0,1440,418,4.375,<1H OCEAN,193146.0
-122.01,38.26,12,4132,710.0,2087,633,4.5987,INLAND,161903.0
-118.44,34.17,29,2685,642.0,1085,599,3.2763,<1H OCEAN,277903.01
-117.92,33.9,13,1814,320.0,1010,313,6.3489,<1H OCEAN,281075.01
-122.64,38.01,36,1336,258.0,678,249,5.5789,NEAR OCEAN,337150.02
-119.97,36.44,18,1128,237.0,772,220,2.1771,INLAND,69193.0
-117.95,33.79,34,2912,520.0,1625,501,4.4667,<1H OCEAN,203178.0
-118.05,33.84,21,4890,653.0,2295,654,6.983,<1H OCEAN,342172.0
-121.26,37.95,44,819,184.0,677,183,1.725,INLAND,71515.0
-118.96,37.64,11,3934,697.0,901,345,4.2381,INLAND,140155.0
-121.64,39.11,18,3212,542.0,1817,508,3.3793,INLAND,119792.0
-117.12,32.76,28,2160,608.0,1339,571,1.9152,NEAR OCEAN,122811.0
-116.92,32.86,11,2204,518.0,1472,497,2.3693,<1H OCEAN,129398.0
-118.83,34.33,6,6679,1164.0,3196,1157,5.4493,<1H OCEAN,270723.03
-122.39,37.78,3,3464,1179.0,1441,919,4.7105,NEAR BAY,271356.07
-117.25,32.73,38,1840,291.0,633,283,4.9125,NEAR OCEAN,389366.14
-120.84,35.3,15,2062,327.0,781,316,4.9359,NEAR OCEAN,263661.0
-117.98,33.7,17,1997,340.0,952,341,4.4148,<1H OCEAN,223912.01
-122.24,37.77,52,1153,235.0,481,223,2.6411,NEAR BAY,175127.0
-121.36,38.66,22,2878,599.0,1362,541,2.7955,INLAND,128580.0
-122.5,37.92,32,2639,415.0,1013,408,6.1632,NEAR BAY,376471.12
-120.84,37.48,10,2874,612.0,1960,596,2.7381,INLAND,110988.0
-118.31,33.88,21,1490,430.0,686,400,2.3812,<1H OCEAN,207833.01
-118.09,34.68,4,23386,4171.0,10493,3671,4.0211,INLAND,141507.0
-119.23,35.77,26,2636,468.0,1416,485,4.1917,INLAND,94781.0
-118.32,34.19,37,1519,331.0,613,315,3.0179,<1H OCEAN,246796.03
-118.52,34.22,35,1275,222.0,959,226,5.0282,<1H OCEAN,218419.02
-118.3,34.1,25,3926,1715.0,4865,1612,1.6112,<1H OCEAN,176608.0
-121.25,36.32,12,4776,1082.0,4601,1066,2.9184,<1H OCEAN,145869.0
-118.15,33.94,36,1948,341.0,992,363,4.2594,<1H OCEAN,238222.0
-117.43,34.01,34,2101,426.0,1150,377,3.0909,INLAND,108187.0
-122.56,37.9,48,1550,253.0,641,276,8.634,NEAR BAY,461684.5
-120.84,37.51,20,1901,313.0,1258,320,3.8958,INLAND,140505.0
-118.28,34.06,52,936,454.0,990,354,1.1122,<1H OCEAN,241546.0
-119.17,34.15,18,2509,688.0,3129,677,2.6098,NEAR OCEAN,301849.01
-122.04,37.35,28,1582,264.0,696,270,5.678,<1H OCEAN,314219.05
-122.28,37.87,52,1813,353.0,828,339,3.5625,NEAR BAY,220574.0
-118.06,33.91,24,4880,1044.0,4516,1050,4.1387,<1H OCEAN,198023.0
-118.47,34.15,43,804,117.0,267,110,8.2269,<1H OCEAN,471615.69
-118.48,34.04,47,1956,277.0,724,277,8.9616,<1H OCEAN,492228.91
-117.08,32.76,27,1221,254.0,606,259,3.0833,NEAR OCEAN,196219.0
-118.71,34.3,20,1586,187.0,699,209,6.5483,<1H OCEAN,296112.04
-118.2,34.04,18,796,227.0,547,218,1.0333,<1H OCEAN,163280.0
-122.04,37.88,32,3250,550.0,1230,557,4.6424,NEAR BAY,303145.01
-117.76,33.83,15,3086,457.0,1262,436,6.4415,<1H OCEAN,299794.0
-117.11,33.74,18,4799,1035.0,1966,944,2.1182,INLAND,102117.0
-122.22,37.84,50,2935,473.0,1031,479,7.5,NEAR BAY,347482.01
-115.37,32.82,30,1602,322.0,1130,335,3.5735,INLAND,86400.0
-118.11,34.16,52,3158,459.0,1229,444,5.4223,INLAND,337304.0
-116.76,34.23,10,4374,989.0,1020,376,2.6071,INLAND,97798.0
-122.12,37.42,36,2607,551.0,1165,523,5.1524,NEAR BAY,367153.13
-117.23,32.78,35,1649,355.0,746,360,4.6293,NEAR OCEAN,273486.04
-118.44,34.19,19,3487,959.0,2278,835,2.6709,<1H OCEAN,213263.0
-120.9,37.64,26,1762,418.0,855,308,1.6767,INLAND,94624.0
-117.27,34.05,34,1703,395.0,849,359,3.1607,INLAND,108488.0
-120.85,37.06,31,2609,645.0,1796,629,1.5479,INLAND,73214.0
-116.99,32.7,15,3660,622.0,2629,612,4.0444,NEAR OCEAN,154603.0
-121.6,39.15,19,1396,336.0,940,309,1.5208,INLAND,98072.0
-117.32,34.55,18,279,59.0,188,60,0.8246,INLAND,98877.01
-121.47,38.49,17,3595,790.0,2760,770,2.3233,INLAND,95047.0
-118.45,34.23,15,5738,1767.0,4620,1581,2.3584,<1H OCEAN,174781.0
-118.08,34.12,27,1685,341.0,757,317,4.2434,<1H OCEAN,266028.0
-117.96,33.94,31,2397,518.0,1407,476,2.6641,<1H OCEAN,186018.0
-118.14,34.06,27,5257,1082.0,3496,1036,3.3906,<1H OCEAN,264167.0
